category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
noun,jewelry and metal working,the metal,material used for jewelry,il metallo,eel meh-TAHL-loh,singular,,masculine,1,noun,,The metal is heated in the furnace.,Il metallo viene scaldato nel forno.,materiale,definite,metallo
noun,jewelry and metal working,a metal,material used for jewelry,un metallo,oon meh-TAHL-loh,singular,,masculine,1,noun,,I need a metal that is easy to shape.,Ho bisogno di un metallo facile da modellare.,materiale,indefinite,metallo
noun,jewelry and metal working,the metals,metal materials,i metalli,ee meh-TAHL-lee,plural,,masculine,1,noun,,The metals are stored on the shelf.,I metalli sono conservati sullo scaffale.,materiali,definite,metallo
noun,jewelry and metal working,the silver,precious white metal,l'argento,lahr-JEN-toh,singular,,masculine,1,noun,,The silver shines after polishing.,L'argento brilla dopo la lucidatura.,argento,definite,argento
noun,jewelry and metal working,silver,precious white metal,argento,ar-JEN-toh,singular,,masculine,1,noun,,Silver is popular for rings.,Argento è popolare per gli anelli.,argento,,argento
noun,jewelry and metal working,the gold,precious yellow metal,l'oro,LOH-roh,singular,,masculine,1,noun,,The gold melts at a lower temperature.,L'oro fonde a una temperatura più bassa.,oro,definite,oro
noun,jewelry and metal working,gold,precious yellow metal,oro,OH-roh,singular,,masculine,1,noun,,Gold is valued worldwide.,Oro è apprezzato in tutto il mondo.,oro,,oro
noun,jewelry and metal working,the copper,reddish metal,il rame,eel RAH-meh,singular,,masculine,2,noun,,The copper conducts heat quickly.,Il rame conduce il calore rapidamente.,rame,definite,rame
noun,jewelry and metal working,copper,reddish metal,rame,RAH-meh,singular,,masculine,2,noun,,Copper is used for practice pieces.,Rame è usato per pezzi di prova.,rame,,rame
noun,jewelry and metal working,the brass,yellow alloy,l'ottone,loh-TOH-neh,singular,,masculine,2,noun,,The brass is ready for engraving.,L'ottone è pronto per l'incisione.,ottone,definite,ottone
noun,jewelry and metal working,brass,yellow alloy,ottone,oh-TOH-neh,singular,,masculine,2,noun,,Brass takes a nice patina.,Ottone prende una bella patina.,ottone,,ottone
noun,jewelry and metal working,the bronze,copper-tin alloy,il bronzo,eel BROHN-tsoh,singular,,masculine,2,noun,,The bronze statue inspires me.,Il bronzo della statua mi ispira.,bronzo,definite,bronzo
noun,jewelry and metal working,bronze,copper-tin alloy,bronzo,BROHN-tsoh,singular,,masculine,2,noun,,Bronze is harder than copper.,Bronzo è più duro del rame.,bronzo,,bronzo
noun,jewelry and metal working,the gem,polished precious stone,la gemma,lah JEM-mah,singular,,feminine,1,noun,,The gem fits the setting.,La gemma entra nell'incastonatura.,pietra,definite,gemma
noun,jewelry and metal working,a gem,polished precious stone,una gemma,OO-nah JEM-mah,singular,,feminine,1,noun,,She chose a gem for the pendant.,Ha scelto una gemma per il pendente.,pietra,indefinite,gemma
noun,jewelry and metal working,the gems,polished stones,le gemme,leh JEM-meh,plural,,feminine,1,noun,,The gems sparkle under the lamp.,Le gemme brillano sotto la lampada.,pietre,definite,gemma
noun,jewelry and metal working,the stone,natural rock piece,la pietra,lah PYEH-trah,singular,,feminine,1,noun,,The stone needs to be shaped.,La pietra deve essere sagomata.,roccia,definite,pietra
noun,jewelry and metal working,a stone,natural rock piece,una pietra,OO-nah PYEH-trah,singular,,feminine,1,noun,,I found a stone for carving.,Ho trovato una pietra da scolpire.,roccia,indefinite,pietra
noun,jewelry and metal working,the stones,natural rock pieces,le pietre,leh PYEH-treh,plural,,feminine,1,noun,,The stones are sorted by color.,Le pietre sono ordinate per colore.,rocce,definite,pietra
noun,jewelry and metal working,the diamond,hardest gemstone,il diamante,eel dee-ah-MAHN-teh,singular,,masculine,1,noun,,The diamond is brilliant cut.,Il diamante è a taglio brillante.,pietra preziosa,definite,diamante
noun,jewelry and metal working,a diamond,hardest gemstone,un diamante,oon dee-ah-MAHN-teh,singular,,masculine,1,noun,,He bought a diamond in Antwerp.,Ha comprato un diamante ad Anversa.,pietra preziosa,indefinite,diamante
noun,jewelry and metal working,the diamonds,hardest gemstones,i diamanti,ee dee-ah-MAHN-tee,plural,,masculine,1,noun,,The diamonds are insured.,I diamanti sono assicurati.,pietre preziose,definite,diamante
noun,jewelry and metal working,the ring,circular finger band,l'anello,lah-NEL-loh,singular,,masculine,1,noun,,The ring is ready to polish.,L'anello è pronto da lucidare.,fede,definite,anello
noun,jewelry and metal working,a ring,circular finger band,un anello,oon ah-NEL-loh,singular,,masculine,1,noun,,I need a ring size seven.,Ho bisogno di un anello misura sette.,fede,indefinite,anello
noun,jewelry and metal working,the rings,circular finger bands,gli anelli,lyee ah-NEL-lee,plural,,masculine,1,noun,,The rings are displayed in the case.,Gli anelli sono esposti in vetrina.,fedi,definite,anello
noun,jewelry and metal working,the necklace,chain for neck,la collana,lah kohl-LAH-nah,singular,,feminine,1,noun,,The necklace holds a pendant.,La collana porta un pendente.,girocollo,definite,collana
noun,jewelry and metal working,a necklace,chain for neck,una collana,OO-nah kohl-LAH-nah,singular,,feminine,1,noun,,She designed a necklace yesterday.,Ha disegnato una collana ieri.,girocollo,indefinite,collana
noun,jewelry and metal working,the necklaces,chains for neck,le collane,leh kohl-LAH-neh,plural,,feminine,1,noun,,The necklaces hang on the stand.,Le collane pendono sul supporto.,girocolli,definite,collana
noun,jewelry and metal working,the bracelet,wrist ornament,il bracciale,eel brahch-CHAH-leh,singular,,masculine,1,noun,,The bracelet is too loose.,Il bracciale è troppo largo.,braccialetto,definite,bracciale
noun,jewelry and metal working,a bracelet,wrist ornament,un bracciale,oon brahch-CHAH-leh,singular,,masculine,1,noun,,He soldered a bracelet clasp.,Ha saldato la chiusura di un bracciale.,braccialetto,indefinite,bracciale
noun,jewelry and metal working,the bracelets,wrist ornaments,i bracciali,ee brahch-CHAH-lee,plural,,masculine,1,noun,,The bracelets jingle softly.,I bracciali tintinnano piano.,braccialetti,definite,bracciale
noun,jewelry and metal working,the torch,gas tool for heat,la torcia,lah TOR-chah,singular,,feminine,1,noun,,The torch is lit.,La torcia è accesa.,cannello,definite,torcia
noun,jewelry and metal working,a torch,gas tool for heat,una torcia,OO-nah TOR-chah,singular,,feminine,1,noun,,I bought a torch for soldering.,Ho comprato una torcia per saldare.,cannello,indefinite,torcia
noun,jewelry and metal working,the torches,gas tools for heat,le torce,leh TOR-cheh,plural,,feminine,2,noun,,The torches are on the bench.,Le torce sono sul banco.,cannelli,definite,torcia
noun,jewelry and metal working,the flame,hot burning gas,la fiamma,lah FYAHM-mah,singular,,feminine,1,noun,,The flame must be blue.,La fiamma deve essere blu.,fuoco,definite,fiamma
noun,jewelry and metal working,a flame,hot burning gas,una fiamma,OO-nah FYAHM-mah,singular,,feminine,1,noun,,A flame touched the metal.,Una fiamma ha toccato il metallo.,fuoco,indefinite,fiamma
noun,jewelry and metal working,the flames,hot burning gases,le fiamme,leh FYAHM-meh,plural,,feminine,1,noun,,The flames dance in the kiln.,Le fiamme danzano nel forno.,fuochi,definite,fiamma
noun,jewelry and metal working,the saw,cutting tool,la sega,lah SEH-gah,singular,,feminine,1,noun,,The saw blade is new.,La sega ha una lama nuova.,seghetto,definite,sega
noun,jewelry and metal working,a saw,cutting tool,una sega,OO-nah SEH-gah,singular,,feminine,1,noun,,I use a saw for piercing.,Uso una sega per traforare.,seghetto,indefinite,sega
