category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
noun,places,the city,large urban area,la città,lah chee-TAH,singular,,feminine,1,noun,,The city is beautiful at night.,La città è bellissima di notte.,metropoli,definite,città
noun,places,a city,large urban area,una città,OO-nah chee-TAH,singular,,feminine,1,noun,,We visited a city by the sea.,Abbiamo visitato una città sul mare.,metropoli,indefinite,città
noun,places,the cities,large urban areas,le città,leh chee-TAH,plural,,feminine,1,noun,,The cities are old and charming.,Le città sono antiche e affascinanti.,metropoli,definite,città
noun,places,the town,small town or village,il paese,eel pah-EH-zeh,singular,,masculine,1,noun,,The town is quiet in winter.,Il paese è tranquillo in inverno.,borgo,definite,paese
noun,places,a town,small town or village,un paese,oon pah-EH-zeh,singular,,masculine,1,noun,,We drove through a town yesterday.,Abbiamo attraversato un paese ieri.,borgo,indefinite,paese
noun,places,the towns,small towns or villages,i paesi,ee pah-EH-zee,plural,,masculine,1,noun,,The towns celebrate the festival.,I paesi festeggiano la sagra.,borghi,definite,paese
noun,places,the street,road in a city,la strada,lah STRAH-dah,singular,,feminine,1,noun,,The street is narrow.,La strada è stretta.,via,definite,strada
noun,places,a street,road in a city,una strada,OO-nah STRAH-dah,singular,,feminine,1,noun,,I found a street with many shops.,Ho trovato una strada con molti negozi.,via,indefinite,strada
noun,places,the streets,roads in a city,le strade,leh STRAH-deh,plural,,feminine,1,noun,,The streets are crowded today.,Le strade sono affollate oggi.,vie,definite,strada
noun,places,the square,public town square,la piazza,lah pyaht-TSAH,singular,,feminine,1,noun,,The square is full of people.,La piazza è piena di gente.,piazzetta,definite,piazza
noun,places,a square,public town square,una piazza,OO-nah pyaht-TSAH,singular,,feminine,1,noun,,Let's meet at a square near the river.,Incontriamoci in una piazza vicino al fiume.,piazzetta,indefinite,piazza
noun,places,the squares,public town squares,le piazze,leh pyaht-TSEH,plural,,feminine,1,noun,,The squares host concerts in summer.,Le piazze ospitano concerti in estate.,piazzette,definite,piazza
noun,places,the park,public green area,il parco,eel PAR-koh,singular,,masculine,1,noun,,The park opens at eight.,Il parco apre alle otto.,giardino,definite,parco
noun,places,a park,public green area,un parco,oon PAR-koh,singular,,masculine,1,noun,,We picnicked in a park.,Abbiamo fatto un picnic in un parco.,giardino,indefinite,parco
noun,places,the parks,public green areas,i parchi,ee PAR-kee,plural,,masculine,1,noun,,The parks are green and clean.,I parchi sono verdi e puliti.,giardini,definite,parco
noun,places,the museum,place to see art,il museo,eel moo-ZEH-oh,singular,,masculine,2,noun,,The museum closes on Monday.,Il museo chiude il lunedì.,galleria,definite,museo
noun,places,a museum,place to see art,un museo,oon moo-ZEH-oh,singular,,masculine,2,noun,,I want to see a museum today.,Voglio vedere un museo oggi.,galleria,indefinite,museo
