category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
noun,time,a minute,A unit of time equal to 60 seconds.,un minuto,oon mee-NOO-toh,singular,n/a,masculine,1,noun,n/a,I don’t have a minute.,,,indefinite
noun,time,the minute,A unit of time equal to 60 seconds.,il minuto,eel mee-NOO-toh,singular,n/a,masculine,1,noun,n/a,I don’t have the minute.,,,definite
noun,time,the minutes,A unit of time equal to 60 seconds.,i minuti,ee mee-NOO-tee,plural,n/a,masculine,1,noun,n/a,I don’t have the minutes.,,,definite
noun,time,a hour,A period of time equal to 60 minutes.,un'ora,oon OH-rah,singular,n/a,feminine,1,noun,n/a,I don’t have a hour.,,,indefinite
noun,time,the hour,A period of time equal to 60 minutes.,l'ora,LOR-ah,singular,n/a,feminine,1,noun,n/a,I don’t have the hour.,,,definite
noun,time,the hours,A period of time equal to 60 minutes.,le ore,leh OH-reh,plural,n/a,feminine,1,noun,n/a,I don’t have the hours.,,,definite
noun,time,a day,A 24-hour period.,un giorno,oon JOHR-noh,singular,n/a,masculine,1,noun,n/a,I don’t have a day.,,,indefinite
noun,time,the day,A 24-hour period.,il giorno,eel JOHR-noh,singular,n/a,masculine,1,noun,n/a,I don’t have the day.,,,definite
noun,time,the days,A 24-hour period.,i giorni,ee JOHR-nee,plural,n/a,masculine,1,noun,n/a,I don’t have the days.,,,definite
noun,time,a week,A period of seven days.,una settimana,OO-nah seht-tee-MAH-nah,singular,n/a,feminine,1,noun,n/a,I don’t have a week.,,,indefinite
noun,time,the week,A period of seven days.,la settimana,lah seht-tee-MAH-nah,singular,n/a,feminine,1,noun,n/a,I don’t have the week.,,,definite
noun,time,the weeks,A period of seven days.,le settimane,leh seht-tee-MAH-neh,plural,n/a,feminine,1,noun,n/a,I don’t have the weeks.,,,definite
noun,time,a month,A period of roughly 30 days.,un mese,oon MEH-zeh,singular,n/a,masculine,1,noun,n/a,I don’t have a month.,,,indefinite
noun,time,the month,A period of roughly 30 days.,il mese,eel MEH-zeh,singular,n/a,masculine,1,noun,n/a,I don’t have the month.,,,definite
noun,time,the months,A period of roughly 30 days.,i mesi,ee MEH-zee,plural,n/a,masculine,1,noun,n/a,I don’t have the months.,,,definite
noun,time,a year,A period of twelve months.,un anno,oon AHN-noh,singular,n/a,masculine,1,noun,n/a,I don’t have a year.,,,indefinite
noun,time,the year,A period of twelve months.,l'anno,LAHN-noh,singular,n/a,masculine,1,noun,n/a,I don’t have the year.,,,definite
noun,time,the years,A period of twelve months.,gli anni,lyee AHN-nee,plural,n/a,masculine,1,noun,n/a,I don’t have the years.,,,definite
noun,time,a morning,The early part of the day.,una mattina,OO-nah maht-TEE-nah,singular,n/a,feminine,1,noun,n/a,I don’t have a morning.,,,indefinite
noun,time,the morning,The early part of the day.,la mattina,lah maht-TEE-nah,singular,n/a,feminine,1,noun,n/a,I don’t have the morning.,,,definite
noun,time,the mornings,The early part of the day.,le mattine,leh maht-TEE-neh,plural,n/a,feminine,1,noun,n/a,I don’t have the mornings.,,,definite
