english,italian

### Nouns ###
a train,un treno,train
the train,il treno,train
the trains,i treni,train

an automobile,una macchina,automobile
the automobile,la macchina,automobile
the automobiles,le macchine,automobile

a taxi,un taxi,taxi
the taxi,il taxi,taxi
the taxis,i taxi,taxi

a ship,una nave,taxi
the ship,la nave,taxi
the ships,le navi,taxi

an airplain,un aereo,airplane
the airplain,l'aereo,airplane
the airplanes,gli aerei,airplane

a bus,un autobus,bus
the bus,l'autobus,bus
the buses,gli autobus,bus

a bus stop,una fermata dell'autobus,bus stop
the bus stop,la fermata dell'autobus,bus stop
the bus stops,le fermate dell'autobus,bus stop

a ticket,un biglietto,ticket
the ticket,il biglietto,ticket
the tickets,i biglietti,ticket

a ticket window,una biglietteria,ticket window
the ticket window,la biglietteria,ticket window
the ticket windows,le biglietterie,ticket window

an airport,un aeroporto,airport
the airport,l'aeroporto,airport
the airports,gli aeroporti,airport

flight,
a flight,un volo,flight
the flight,il volo,flight
the flights,i voli,flight

connection,
a connection,una coincidenza,connection
the connection,la coincidenza,connection
the connections,le coincidenze,conection

gate,
a gate,
the gate,l'uscita,gate
the gates,

a railway,
the railway,la ferrovia
the railways,

the station,la stazione
the railway station,la stazione ferroviaria
the bus terminal,il capolinea dell'autobus
the platform,il marciapiede
which platform,quale marciapiede
which track,quale binario
which traincar,quale carrozza
