category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
verb,jewelry and metal working,to solder,join metal with heat,saldare,sahl-DAH-reh,,infinitive,,1,,,I like to solder silver rings.,Mi piace saldare anelli d'argento.,unire,,saldare
verb,jewelry and metal working,I solder,first-person present,saldo,SAHL-doh,,present_1sg,,1,,,I solder every joint carefully.,Saldo ogni giunzione con cura.,unisco,,saldare
verb,jewelry and metal working,you solder,second-person present,saldi,SAHL-dee,,present_2sg,,1,,,You solder the pieces together.,Saldii i pezzi insieme.,unisci,,saldare
verb,jewelry and metal working,she solders,third-person present,salda,SAHL-dah,,present_3sg,,1,,,She solders the bracelet now.,Lei salda il bracciale ora.,unisce,,saldare
verb,jewelry and metal working,he solders,third-person present,salda,SAHL-dah,,present_3sg,,1,,,He solders the pendant carefully.,Lui salda il pendente con cura.,unisce,,saldare
verb,jewelry and metal working,we solder,first-person plural,saldiamo,sahl-dee-AH-mo,,present_1pl,,1,,,We solder the necklace together.,Saldiamo la collana insieme.,uniamo,,saldare
verb,jewelry and metal working,they solder,third-person plural,saldano,sahl-DAH-noh,,present_3pl,,1,,,They solder the earrings now.,Loro saldano gli orecchini ora.,uniscono,,saldare
verb,jewelry and metal working,you (plural) solder,second-person plural,saldete,sahl-DEH-teh,,present_2pl,,1,,,You (plural) solder the metal pieces.,Voi saldate i pezzi di metallo.,unite,,saldare
verb,jewelry and metal working,I soldered,past completed action,ho saldato,oh sahl-DAH-toh,,past_1sg,,1,,,I soldered the bezel yesterday.,Ho saldato il castone ieri.,ho unito,,saldare
verb,jewelry and metal working,you soldered,past completed action,hai saldato,eye sahl-DAH-toh,,past_2sg,,1,,,You soldered the ring last week.,Hai saldato l'anello la settimana scorsa.,hai unito,,saldare
verb,jewelry and metal working,she soldered,past completed action,ha saldato,ah sahl-DAH-toh,,past_3sg,,1,,,She soldered the pendant last night.,Ha saldato il pendente ieri sera.,ha unito,,saldare
verb,jewelry and metal working,he soldered,past completed action,ha saldato,ah sahl-DAH-toh,,past_3sg,,1,,,He soldered the bracelet this morning.,Ha saldato il bracciale stamattina.,ha unito,,saldare
verb,jewelry and metal working,we soldered,past completed action,abbiamo saldato,ah-BYAH-mo sahl-DAH-toh,,past_1pl,,1,,,We soldered the necklace together.,Abbiamo saldato la collana insieme.,abbiamo unito,,saldare
verb,jewelry and metal working,they soldered,past completed action,hanno saldato,AHN-noh sahl-DAH-toh,,past_3pl,,1,,,They soldered the earrings yesterday.,Hanno saldato gli orecchini ieri.,hanno unito,,saldare
verb,jewelry and metal working,you (plural) soldered,past completed action,avete saldato,ah-VEH-teh sahl-DAH-toh,,past_2pl,,1,,,You (plural) soldered the metal pieces.,Avete saldato i pezzi di metallo.,avete unito,,saldare
verb,jewelry and metal working,soldering,ongoing action,saldando,sahl-DAHN-doh,,gerund,,1,,,Soldering takes patience.,Saldando ci vuole pazienza.,unendo,,saldare
verb,jewelry and metal working,to melt,turn solid to liquid,fondere,FON-deh-reh,,infinitive,,1,,,We need to melt the silver.,Dobbiamo fondere l'argento.,sciogliere,,fondere
verb,jewelry and metal working,I melt,first-person present,fondo,FON-doh,,present_1sg,,1,,,I melt small ingots for casting.,Fondo piccoli lingotti per la fusione.,sciolgo,,fondare
verb,jewelry and metal working,you melt,second-person present,fondi,FON-dee,,present_2sg,,1,,,You melt the wax for the mold.,Fondi la cera per lo stampo.,sciogli,,fondere
verb,jewelry and metal working,she melts,third-person present,fonde,FON-deh,,present_3sg,,1,,,She melts the gold for the pendant.,Lei fonde l'oro per il pendente.,scioglie,,fondere
verb,jewelry and metal working,he melts,third-person present,fonde,FON-deh,,present_3sg,,1,,,He melts the silver for the ring.,Lui fonde l'argento per l'anello.,scioglie,,fondere
verb,jewelry and metal working,we melt,first-person plural,fondiamo,fon-DYAH-mo,,present_1pl,,1,,,We melt the metal together.,Fondiamo il metallo insieme.,sciogliamo,,fondere
verb,jewelry and metal working,they melt,third-person plural,fondono,fon-DOH-noh,,present_3pl,,1,,,They melt the bronze for casting.,Loro fondono il bronzo per la fusione.,sciolgono,,fondere
verb,jewelry and metal working,you (plural) melt,second-person plural,fondete,fon-DEH-teh,,present_2pl,,1,,,You (plural) melt the scrap metal.,Voi fondete il metallo di recupero.,sciogliete,,fondere
verb,jewelry and metal working,I melted,past completed action,ho fuso,oh FOO-zoh,,past_1sg,,1,,,I melted scrap gold last night.,Ho fuso oro di recupero ieri sera.,ho sciolto,,fondere
verb,jewelry and metal working,you melted,past completed action,hai fuso,eye FOO-zoh,,past_2sg,,1,,,You melted the silver yesterday.,Hai fuso l'argento ieri.,hai sciolto,,fondere
verb,jewelry and metal working,she melted,past completed action,ha fuso,ah FOO-zoh,,past_3sg,,1,,,She melted the bronze this morning.,Ha fuso il bronzo stamattina.,ha sciolto,,fondere
verb,jewelry and metal working,he melted,past completed action,ha fuso,ah FOO-zoh,,past_3sg,,1,,,He melted the gold for the pendant.,Ha fuso l'oro per il pendente.,ha sciolto,,fondere
verb,jewelry and metal working,we melted,past completed action,abbiamo fuso,ah-BYAH-mo FOO-zoh,,past_1pl,,1,,,We melted the silver together.,Abbiamo fuso l'argento insieme.,abbiamo sciolto,,fondere
verb,jewelry and metal working,they melted,past completed action,hanno fuso,AHN-noh FOO-zoh,,past_3pl,,1,,,They melted the bronze yesterday.,Hanno fuso il bronzo ieri.,hanno sciolto,,fondere
verb,jewelry and metal working,you (plural) melted,past completed action,avete fuso,ah-VEH-teh FOO-zoh,,past_2pl,,1,,,You (plural) melted the scrap metal.,Avete fuso il metallo di recupero.,avete sciolto,,fondere
verb,jewelry and metal working,melting,ongoing action,fon­dendo,fon-DEN-doh,,gerund,,1,,,Melting requires steady heat.,Fondendo serve calore costante.,sciogliendo,,fondere
verb,jewelry and metal working,to cast,pour metal into mold,colare,coh-LAH-reh,,infinitive,,1,,,We plan to cast a pendant.,Prevediamo di colare un pendente.,gettare,,colare
verb,jewelry and metal working,I cast,first-person present,colo,COH-loh,,present_1sg,,1,,,I cast small shapes in sand.,Colo forme piccole nella sabbia.,getto,,colare
verb,jewelry and metal working,you cast,second-person present,colii,coh-LEE,,present_2sg,,1,,,You cast the ring in bronze.,Coli l'anello in bronzo.,getti,,colare
verb,jewelry and metal working,she casts,third-person present,cola,COH-lah,,present_3sg,,1,,,She casts the pendant in silver.,Lei cola il pendente in argento.,getta,,colare
verb,jewelry and metal working,he casts,third-person present,cola,COH-lah,,present_3sg,,1,,,He casts the earrings in gold.,Lui cola gli orecchini in oro.,getta,,colare
verb,jewelry and metal working,we cast,first-person plural,coliamo,coh-LYAH-mo,,present_1pl,,1,,,We cast the necklace in bronze.,Coliamo la collana in bronzo.,gettiamo,,colare
verb,jewelry and metal working,they cast,third-person plural,colano,COH-lah-noh,,present_3pl,,1,,,They cast the bracelet in silver.,Loro colano il bracciale in argento.,gettano,,colare
verb,jewelry and metal working,you (plural) cast,second-person plural,colate,coh-LAH-teh,,present_2pl,,1,,,You (plural) cast the metal pieces.,Voi colate i pezzi di metallo.,gettate,,colare
verb,jewelry and metal working,I casted,past completed action,ho colato,oh coh-LAH-toh,,past_1sg,,1,,,I casted a bronze coin today.,Ho colato una moneta in bronzo oggi.,ho gettato,,colare
verb,jewelry and metal working,you casted,past completed action,hai colato,eye coh-LAH-toh,,past_2sg,,1,,,You casted the ring last week.,Hai colato l'anello la settimana scorsa.,hai gettato,,colare
