category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
noun,time,the day,24-hour period,il giorno,eel JOR-noh,singular,,masculine,1,noun,,The day is sunny.,Il giorno è soleggiato.,giornata,definite,giorno
noun,time,a day,24-hour period,un giorno,oon JOR-noh,singular,,masculine,1,noun,,A day in Rome is fantastic.,Un giorno a Roma è fantastico.,giornata,indefinite,giorno
noun,time,the days,24-hour periods,i giorni,ee JOR-nee,plural,,masculine,1,noun,,The days are long in summer.,I giorni sono lunghi in estate.,giornate,definite,giorno
noun,time,the week,7-day period,la settimana,lah seh-tee-MAH-nah,singular,,feminine,1,noun,,The week passes quickly.,La settimana passa velocemente.,ottava,definite,settimana
noun,time,a week,7-day period,una settimana,OO-nah seh-tee-MAH-nah,singular,,feminine,1,noun,,We stayed for a week.,Siamo rimasti per una settimana.,ottava,indefinite,settimana
noun,time,the weeks,7-day periods,le settimane,leh seh-tee-MAH-neh,plural,,feminine,1,noun,,The weeks before the trip were busy.,Le settimane prima del viaggio erano intense.,ottave,definite,settimana
noun,time,the month,one of 12 calendar units,il mese,eel MEH-zeh,singular,,masculine,1,noun,,The month of May is warm.,Il mese di maggio è caldo.,mensile,definite,mese
noun,time,a month,one of 12 calendar units,un mese,oon MEH-zeh,singular,,masculine,1,noun,,I will be in Italy for a month.,Starò in Italia per un mese.,mensile,indefinite,mese
noun,time,the months,calendar units,i mesi,ee MEH-zee,plural,,masculine,1,noun,,The months fly by.,I mesi volano.,mensili,definite,mese
noun,time,the year,12-month period,l'anno,LAHN-noh,singular,,masculine,1,noun,,The year has just begun.,L'anno è appena iniziato.,annata,definite,anno
noun,time,a year,12-month period,un anno,oon AHN-noh,singular,,masculine,1,noun,,They traveled for a year.,Hanno viaggiato per un anno.,annata,indefinite,anno
noun,time,the years,12-month periods,gli anni,lyee AHN-nee,plural,,masculine,1,noun,,The years pass quickly.,Gli anni passano in fretta.,annate,definite,anno
noun,time,the morning,early part of day,la mattina,lah maht-TEE-nah,singular,,feminine,1,noun,,The morning is cool.,La mattina è fresca.,mattino,definite,mattina
noun,time,a morning,early part of day,una mattina,OO-nah maht-TEE-nah,singular,,feminine,1,noun,,A morning walk helps.,Una mattina di passeggiata aiuta.,mattino,indefinite,mattina
noun,time,the mornings,early parts of days,le mattine,leh maht-TEE-neh,plural,,feminine,1,noun,,The mornings are quiet here.,Le mattine sono tranquille qui.,mattini,definite,mattina
noun,time,the afternoon,mid-day period,il pomeriggio,eel poh-meh-REED-joh,singular,,masculine,1,noun,,The afternoon feels hot.,Il pomeriggio è caldo.,tardo pomeriggio,definite,pomeriggio
noun,time,an afternoon,mid-day period,un pomeriggio,oon poh-meh-REED-joh,singular,,masculine,1,noun,,We spent an afternoon at the museum.,Abbiamo trascorso un pomeriggio al museo.,tardo pomeriggio,indefinite,pomeriggio
noun,time,the afternoons,mid-day periods,i pomeriggi,ee poh-meh-REED-jee,plural,,masculine,1,noun,,The afternoons are busy downtown.,I pomeriggi sono affollati in centro.,pomeriggi,definite,pomeriggo
noun,time,the evening,later part of day,la sera,lah SEH-rah,singular,,feminine,1,noun,,The evening breeze is pleasant.,La sera la brezza è piacevole.,serata,definite,sera
noun,time,an evening,later part of day,una sera,OO-nah SEH-rah,singular,,feminine,1,noun,,An evening stroll is relaxing.,Una sera a passeggio è rilassante.,serata,indefinite,sera
noun,time,the evenings,later parts of days,le sere,leh SEH-reh,plural,,feminine,1,noun,,The evenings are lively.,Le sere sono vivaci.,serate,definite,sera
noun,time,the night,period of darkness,la notte,lah NOT-teh,singular,,feminine,1,noun,,The night is quiet.,La notte è silenziosa.,nottata,definite,notte
noun,time,a night,period of darkness,una notte,OO-nah NOT-teh,singular,,feminine,1,noun,,We booked a night in Florence.,Abbiamo prenotato una notte a Firenze.,nottata,indefinite,notte
noun,time,the nights,periods of darkness,le notti,leh NOT-tee,plural,,feminine,1,noun,,The nights can be cold.,Le notti possono essere fredde.,nottate,definite,notte
noun,time,the weekend,SAT-SUN period,il fine settimana,eel FEE-neh seh-tee-MAH-nah,singular,,masculine,1,noun,,The weekend starts tomorrow.,Il fine settimana inizia domani.,weekend,definite,fine settimana
noun,time,a weekend,SAT-SUN period,un fine settimana,oon FEE-neh seh-tee-MAH-nah,singular,,masculine,1,noun,,We planned a weekend in Venice.,Abbiamo programmato un fine settimana a Venezia.,weekend,indefinite,fine settimana
noun,time,the weekends,SAT-SUN periods,i fine settimana,ee FEE-neh seh-tee-MAH-nah,plural,,masculine,1,noun,,The weekends are short.,I fine settimana sono brevi.,weekend,definite,fine settimana
noun,time,the hour,60-minute period,l'ora,LOH-rah,singular,,feminine,1,noun,,The hour passes slowly.,L'ora passa lentamente.,momento,definite,ora
noun,time,an hour,60-minute period,un'ora,oon OH-rah,singular,,feminine,1,noun,,It takes an hour by train.,Ci vuole un'ora in treno.,momento,indefinite,ora
noun,time,the hours,60-minute periods,le ore,leh OH-reh,plural,,feminine,1,noun,,The hours of work are long.,Le ore di lavoro sono lunghe.,ore,definite,ora
noun,time,the minute,60-second period,il minuto,eel mee-NOO-toh,singular,,masculine,1,noun,,The minute goes fast.,Il minuto passa veloce.,istante,definite,minuto
noun,time,a minute,60-second period,un minuto,oon mee-NOO-toh,singular,,masculine,1,noun,,Wait a minute please.,Aspetta un minuto per favore.,istante,indefinite,minuto
noun,time,the minutes,60-second periods,i minuti,ee mee-NOO-tee,plural,,masculine,1,noun,,The minutes seemed endless.,I minuti sembravano infiniti.,istanti,definite,minuto
noun,time,the second,base time unit,il secondo,eel seh-KON-doh,singular,,masculine,1,noun,,The second hand moves.,Il secondo si muove.,attimo,definite,secondo
noun,time,a second,base time unit,un secondo,oon seh-KON-doh,singular,,masculine,1,noun,,Just a second!,Solo un secondo!,attimo,indefinite,secondo
noun,time,the seconds,base time units,i secondi,ee seh-KON-dee,plural,,masculine,1,noun,,The seconds tick away.,I secondi scorrono.,attimi,definite,secondo
noun,time,today,current day,oggi,OH-jee,singular,,,1,noun,,Today is market day.,Oggi è giorno di mercato.,questo giorno,,oggi
noun,time,tomorrow,next day,domani,doh-MAH-nee,singular,,,1,noun,,Tomorrow we leave for Naples.,Domani partiamo per Napoli.,giorno seguente,,domani
noun,time,yesterday,previous day,ieri,YEH-ree,singular,,,1,noun,,Yesterday was rainy.,Ieri è stato piovoso.,giorno precedente,,ieri
noun,time,the holiday,celebration day,la festa,lah FEHS-tah,singular,,feminine,1,noun,,The holiday is on Friday.,La festa è venerdì.,vacanza,definite,festa
noun,time,a holiday,celebration day,una festa,OO-nah FEHS-tah,singular,,feminine,1,noun,,They enjoyed a holiday in August.,Hanno goduto di una festa ad agosto.,vacanza,indefinite,festa
noun,time,the holidays,celebration days,le feste,leh FEHS-teh,plural,,feminine,1,noun,,The holidays are joyful.,Le feste sono gioiose.,vacanze,definite,feste
noun,time,the season,period of the year,la stagione,lah stah-JOH-neh,singular,,feminine,2,noun,,The season changes soon.,La stagione cambia presto.,periodo,definite,stagione
noun,time,a season,period of the year,una stagione,OO-nah stah-JOH-neh,singular,,feminine,2,noun,,A season in Italy can teach a lot.,Una stagione in Italia può insegnare molto.,periodo,indefinite,stagione
noun,time,the seasons,periods of the year,le stagioni,leh stah-JOH-nee,plural,,feminine,2,noun,,The seasons influence travel plans.,Le stagioni influenzano i viaggi.,periodi,definite,stagioni
noun,time,the spring,March-May period,la primavera,lah pree-mah-VEH-rah,singular,,feminine,2,noun,,The spring is colorful.,La primavera è colorata.,stagione primaverile,definite,primavera
noun,time,a spring,March-May period,una primavera,OO-nah pree-mah-VEH-rah,singular,,feminine,2,noun,,They arrived in a spring full of flowers.,Sono arrivati in una primavera piena di fiori.,stagione primaverile,indefinite,primavera
noun,time,the springs,March-May periods,le primavere,leh pree-mah-VEH-reh,plural,,feminine,2,noun,,The springs are mild.,Le primavere sono miti.,stagioni primaverili,definite,primavere
noun,time,the summer,June-Aug period,l'estate,leh-STAH-teh,singular,,feminine,2,noun,,The summer is hot.,L'estate è calda.,stagione estiva,definite,estate
noun,time,a summer,June-Aug period,un'estate,oon eh-STAH-teh,singular,,feminine,2,noun,,We met during a summer in Puglia.,Ci siamo conosciuti durante un'estate in Puglia.,stagione estiva,indefinite,estate
