english,italian

### Pronouns ###
I,io,I
you (familiar),tu,you (familiar)
you (polite),Lei,you (polite)
he,lui,he
she,lei,she
this,questo / questa,this
we,noi,we
you (plural),voi,you (plural)
they,loro,they

### Phrases ###
good morning / good day,buongiorno,good morning / good day
good evening,buonasera,good evening
good night,buonanotte,good night
goodbye,arrivederci,goodbye
hello / goodbye,ciao,hello / goodbye
please,per favore,please
please,per piacere,please
thank you,grazie,thank you
you're welcome / please,prego,you're welcome / please

### Adverbs ###
yes,sì,yes
no,no,no

### Adjectives ###
good,buono,good
bad,cativo,bad

### Nouns ###
sir / mister,signore,sir / mister
madam / misses,signora,madam / misses
miss,signorina,miss
